payment_id,order_id,customer_id,payment_amount,payment_method,payment_status,payment_timestamp
PAY-O-00001,O2026091400001,C0095,1478.31,CARD,SUCCESS,2026-09-14 01:46:19
PAY-O-00002,O2026091400002,C0043,11897.2,WALLET,SUCCESS,2026-09-14 18:12:45
PAY-O-00003,O2026091400003,C0070,9362.1,UPI,SUCCESS,2026-09-14 20:47:51
PAY-O-00004,O2026091400004,C0019,4942.4,CARD,SUCCESS,2026-09-14 10:11:38
PAY-O-00005,O2026091400005,C0090,11682.32,WALLET,SUCCESS,2026-09-14 08:42:47
PAY-O-00006,O2026091400006,C0070,13667.36,UPI,SUCCESS,2026-09-14 15:40:39
PAY-O-00007,O2026091400007,C0031,17959.56,CARD,SUCCESS,2026-09-14 09:17:33
PAY-O-00008,O2026091400008,C0014,12459.3,UPI,SUCCESS,2026-09-14 11:45:48
PAY-O-00009,O2026091400009,C0048,10530.72,NET_BANKING,SUCCESS,2026-09-14 04:19:17
PAY-O-00010,O2026091400010,C0055,3916.94,NET_BANKING,SUCCESS,2026-09-14 23:45:23
PAY-O-00011,O2026091400011,C0036,2974.3,CARD,SUCCESS,2026-09-14 02:30:15
PAY-O-00012,O2026091400012,C0039,3596.68,WALLET,SUCCESS,2026-09-14 00:28:02
PAY-O-00013,O2026091400013,C0049,6725.62,CARD,SUCCESS,2026-09-14 09:06:58
PAY-O-00014,O2026091400014,C0068,8719.95,CARD,SUCCESS,2026-09-14 20:04:27
PAY-O-00015,O2026091400015,C0095,5778.55,WALLET,SUCCESS,2026-09-14 10:58:02
PAY-O-00016,O2026091400016,C0002,7391.55,WALLET,SUCCESS,2026-09-14 19:26:58
PAY-O-00017,O2026091400017,C0060,2286.35,NET_BANKING,SUCCESS,2026-09-14 16:02:04
PAY-O-00018,O2026091400018,C0088,4391.58,WALLET,SUCCESS,2026-09-14 12:35:57
PAY-O-00019,O2026091400019,C0069,8719.95,NET_BANKING,SUCCESS,2026-09-14 18:58:59
PAY-O-00021,O2026091400021,C0077,1236.42,NET_BANKING,SUCCESS,2026-09-14 09:52:50
PAY-O-00022,O2026091400022,C0016,9884.8,WALLET,SUCCESS,2026-09-14 12:16:58
PAY-O-00023,O2026091400023,C0035,11831.34,NET_BANKING,SUCCESS,2026-09-14 03:59:59
PAY-O-00024,O2026091400024,C0023,5032.56,WALLET,SUCCESS,2026-09-14 06:10:24
PAY-O-00025,O2026091400025,C0090,3353.73,UPI,SUCCESS,2026-09-14 20:38:13
PAY-O-00026,O2026091400026,C0059,15127.6,WALLET,SUCCESS,2026-09-14 17:47:59
PAY-O-00027,O2026091400027,C0035,19484.68,CARD,SUCCESS,2026-09-14 21:27:16
PAY-O-00028,O2026091400028,C0060,13469.67,WALLET,SUCCESS,2026-09-14 22:57:57
PAY-O-00029,O2026091400029,C0067,1579.54,NET_BANKING,SUCCESS,2026-09-14 03:16:44
PAY-O-00030,O2026091400030,C0100,275.41,NET_BANKING,SUCCESS,2026-09-14 17:12:53
PAY-O-00032,O2026091400032,C0058,8086.44,UPI,SUCCESS,2026-09-14 00:41:43
PAY-O-00033,O2026091400033,C0010,4196.17,NET_BANKING,SUCCESS,2026-09-14 12:57:49
PAY-O-00035,O2026091400035,C0033,10169.48,NET_BANKING,SUCCESS,2026-09-14 02:29:27
PAY-O-00036,O2026091400036,C0084,8922.9,WALLET,SUCCESS,2026-09-14 16:48:39
PAY-O-00037,O2026091400037,C0011,4381.17,CARD,SUCCESS,2026-09-14 23:49:25
PAY-O-00038,O2026091400038,C0062,1761.72,WALLET,SUCCESS,2026-09-14 22:06:43
PAY-O-00039,O2026091400039,C0007,7487.12,CARD,SUCCESS,2026-09-14 18:22:47
PAY-O-00040,O2026091400040,C0016,7487.12,WALLET,SUCCESS,2026-09-14 21:00:41
PAY-O-00041,O2026091400041,C0005,9412.38,NET_BANKING,SUCCESS,2026-09-14 10:39:48
PAY-O-00042,O2026091400042,C0058,455.19,CARD,SUCCESS,2026-09-14 06:35:40
