sale_id,store_id,customer_id,product_id,sale_timestamp,quantity,sale_amount,payment_method
SS2026091400001,S006,C00340,P0061,2026-09-14 17:16:04,4,3255.76,CASH
SS2026091400002,S025,C00428,P0008,2026-09-14 14:17:07,1,4160.2,NET_BANKING
SS2026091400003,S028,C00163,P0091,2026-09-14 03:17:19,3,12101.43,WALLET
SS2026091400004,S002,C00467,P0071,2026-09-14 06:21:54,2,9357.64,NET_BANKING
SS2026091400005,S029,C00312,P0019,2026-09-14 09:48:30,2,5667.72,UPI
SS2026091400006,S015,C00100,P0085,2026-09-14 10:32:12,2,5992.18,UPI
SS2026091400007,S008,C00085,P0081,2026-09-14 16:20:17,3,3851.31,WALLET
SS2026091400008,S026,C00426,P0011,2026-09-14 00:27:25,5,16156.55,WALLET
SS2026091400009,S030,C00019,P0065,2026-09-14 15:58:29,2,7583.62,WALLET
SS2026091400010,S020,C00380,P0087,2026-09-14 03:13:04,1,1261.41,CASH
SS2026091400011,S028,C00379,P0023,2026-09-14 16:57:15,1,4309.02,NET_BANKING
SS2026091400012,S003,C00131,P0017,2026-09-14 01:05:49,2,6930.5,NET_BANKING
SS2026091400013,S026,C00237,P0041,2026-09-14 08:53:15,1,1623.5,UPI
SS2026091400014,S018,C00054,P0006,2026-09-14 02:15:40,4,12315.28,WALLET
SS2026091400015,S014,C00074,P0007,2026-09-14 04:24:21,5,12558.4,WALLET
SS2026091400016,S025,C00231,P0070,2026-09-14 05:07:42,1,420.13,NET_BANKING
SS2026091400017,S029,C00145,P0032,2026-09-14 05:32:52,4,12156.44,UPI
SS2026091400018,S003,C00068,P0096,2026-09-14 19:09:09,2,3716.88,CARD
SS2026091400019,S026,C00460,P0048,2026-09-14 05:20:41,2,5265.96,NET_BANKING
SS2026091400020,S010,C00069,P0095,2026-09-14 13:56:46,4,12477.88,NET_BANKING
SS2026091400021,S016,C00136,P0013,2026-09-14 17:38:37,2,7177.4,UPI
SS2026091400022,S026,C00302,P0100,2026-09-14 09:55:03,5,492.5,NET_BANKING
SS2026091400023,S005,C00159,P0099,2026-09-14 11:35:54,4,5626.72,NET_BANKING
SS2026091400024,S015,C00076,P0009,2026-09-14 02:46:36,1,4746.02,CARD
SS2026091400025,S024,C00465,P0011,2026-09-14 21:54:21,5,5894.15,WALLET
SS2026091400026,S027,C00387,P0022,2026-09-14 11:28:24,1,4105.43,UPI
SS2026091400027,S028,C00318,P0046,2026-09-14 14:22:30,2,4889.66,CASH
SS2026091400028,S003,C00248,P0093,2026-09-14 00:47:42,4,18099.84,UPI
SS2026091400029,S008,C00195,P0094,2026-09-14 06:27:03,3,11460.78,CARD
SS2026091400030,S024,C00013,P0080,2026-09-14 14:51:39,1,215.84,CASH
SS2026091400031,S005,C00238,P0060,2026-09-14 18:53:13,2,9552.38,UPI
SS2026091400032,S006,C00109,P0087,2026-09-14 23:17:46,5,3794.2,WALLET
SS2026091400033,S021,C00321,P0038,2026-09-14 10:57:14,3,6140.88,CARD
SS2026091400034,S016,C00026,P0031,2026-09-14 02:15:02,1,2433.47,WALLET
SS2026091400035,S013,C00138,P0081,2026-09-14 12:38:23,1,906.02,WALLET
SS2026091400036,S024,C00393,P0100,2026-09-14 01:21:16,2,9927.1,CARD
SS2026091400037,S026,C00442,P0058,2026-09-14 18:19:13,1,1237.41,UPI
SS2026091400038,S018,C00429,P0045,2026-09-14 20:01:22,2,558.86,CASH
SS2026091400039,S010,C00067,P0065,2026-09-14 01:00:06,1,906.51,UPI
SS2026091400040,S019,C00359,P0012,2026-09-14 09:14:21,3,12917.19,CASH
SS2026091400041,S017,C00439,P0093,2026-09-14 15:52:51,1,2628.02,UPI
SS2026091400042,S007,C00229,P0047,2026-09-14 18:21:39,3,8180.94,WALLET
SS2026091400043,S011,C00445,P0099,2026-09-14 19:41:32,2,9848.06,WALLET
SS2026091400044,S026,C00016,P0081,2026-09-14 11:35:06,1,4381.46,CASH
SS2026091400045,S013,C00386,P0093,2026-09-14 02:42:45,5,10906.55,CARD
SS2026091400046,S028,C00341,P0044,2026-09-14 20:45:21,1,4954.36,NET_BANKING
SS2026091400047,S013,C00048,P0045,2026-09-14 09:50:06,3,7436.46,CASH
SS2026091400048,S010,C00043,P0065,2026-09-14 19:22:11,2,6760.88,UPI
SS2026091400049,S019,C00092,P0064,2026-09-14 08:35:17,2,8123.28,WALLET
SS2026091400050,S019,C00402,P0048,2026-09-14 20:34:58,4,3904.2,NET_BANKING
SS2026091400051,S009,C00446,P0069,2026-09-14 10:12:04,3,13472.22,CARD
SS2026091400052,S004,C00071,P0003,2026-09-14 04:16:07,2,6967.32,CARD
SS2026091400053,S009,C00244,P0020,2026-09-14 08:44:39,3,7232.37,UPI
